date,regime,NVDA,AMD,INTC,AVGO,STX,WDC,DELL,ANET,SNOW,VRT,MU,TSM,PSTG,ORCL,MRVL,HPE,PLTR,CSCO
2024-01-08,RISK_ON,0.0742,0.1202,0.12,0.1098,0.1271,0.0667,0.0628,0.0685,0.1008,0.1499,,,,,,,,
2024-01-22,RISK_ON,0.1113,0.1144,0.0877,0.1154,0.0988,0.0833,0.0714,0.1033,,0.1199,0.0944,,,,,,,
2024-01-29,RISK_ON,0.105,0.111,,0.091,0.1108,0.0814,0.0873,0.1229,0.0721,0.1326,0.0859,,,,,,,
2024-02-05,RISK_ON,0.1095,0.104,,0.1089,0.1341,0.0771,0.084,0.0865,0.0814,0.1326,0.0819,,,,,,,
2024-02-12,RISK_ON,0.1245,0.104,,0.1225,0.0784,,0.0738,0.1076,0.1033,0.1487,0.0537,0.0835,,,,,,
2024-02-26,RISK_ON,0.1471,0.1384,,0.1276,0.0639,0.0991,0.0794,0.0663,0.0793,0.1139,,0.0849,,,,,,
2024-03-04,RISK_ON,0.124,0.1241,,0.1191,0.0728,0.085,0.0729,0.0886,,0.1468,,0.0835,0.0833,,,,,
2024-03-11,RISK_ON,0.0959,0.0847,,0.1408,0.0822,0.0656,0.1323,0.1264,,0.1045,0.0742,0.0934,,,,,,
2024-03-18,RISK_ON,0.1321,0.0892,,0.0709,,0.0708,0.1167,0.0632,,0.1478,,0.1031,0.1244,0.0818,,,,
2024-03-25,RISK_ON,0.2057,0.1254,,0.0741,,0.0716,0.0639,0.0806,,0.1614,0.063,0.0842,,0.0703,,,,
2024-04-01,RISK_ON,0.1784,,,0.0602,,0.0908,0.0781,0.136,,0.1817,0.0793,0.0602,0.0753,0.0602,,,,
2024-04-08,RISK_ON,0.1498,,,0.0624,0.0611,0.099,0.1199,,,0.1546,0.0652,0.0905,0.0982,,0.0993,,,
2024-04-15,RISK_ON,0.1226,,,0.0643,,0.1014,0.1583,,,0.1718,0.0659,0.1095,0.0746,0.0557,,0.0759,,
2024-04-22,RISK_ON,0.1098,,,,,0.1417,0.1161,,,0.2708,0.1708,0.0602,0.0602,,,0.0704,,
2024-04-29,RISK_ON,0.155,,,0.1202,,0.1441,0.1813,,,0.3222,,,0.0772,,,,,
2024-05-06,RISK_ON,0.1018,,,,,0.1014,0.227,,,0.2089,0.227,0.0741,0.0598,,,,,
2024-05-13,RISK_ON,0.0859,,,0.0582,0.0582,0.1065,0.1543,0.0777,,0.1679,0.1382,0.0949,0.0582,,,,,
2024-05-20,RISK_ON,0.0927,,,0.0585,,0.103,0.1748,0.0666,,0.1276,0.1383,0.0617,0.1146,,,0.0624,,
2024-06-03,RISK_ON,0.1354,,,,,0.1209,0.2084,,,0.2393,0.0899,0.1517,0.0544,,,,,
2024-06-10,RISK_ON,0.1476,,,0.0871,0.0684,0.0966,0.0684,,,0.128,0.1345,0.0947,0.1044,0.0702,,,,
2024-06-17,RISK_ON,0.102,,,0.0988,0.0997,0.1115,0.1411,0.0743,,0.0834,0.1379,0.0739,0.0774,,,,,
2024-06-24,RISK_ON,0.0893,,,,0.0893,0.1796,0.073,0.0855,,0.1071,,0.0803,0.1734,,,0.1226,,
2024-07-01,RISK_ON,0.1038,,,,0.0936,,0.2095,0.0863,,0.1053,0.1178,0.0848,0.0677,,0.0646,0.0668,,
2024-07-08,RISK_ON,0.159,,,,0.0941,0.0956,0.0729,0.1049,,0.12,,0.1346,0.0729,0.0729,,0.0729,,
2024-07-15,RISK_ON,0.1266,,,,0.1318,0.0909,,0.1079,,0.0744,0.1373,0.1014,0.0597,0.0841,,0.0858,,
2024-07-22,RISK_ON,0.1822,,,0.146,0.109,,,0.1365,,0.054,0.0534,0.0742,0.0477,0.0994,,0.0975,,
2024-07-29,RISK_ON,0.1345,,,0.0794,0.1558,,,0.1435,,0.097,,0.1013,0.0683,0.1328,,0.0873,,
2024-08-05,RISK_ON,0.1858,,,0.151,0.0975,,,0.1603,,,,0.1248,0.0751,0.1204,,0.0851,,
2024-08-12,RISK_ON,0.1647,,,0.1133,0.0656,,,0.1903,,,,0.1008,0.0581,0.0835,,0.0618,0.1618,
2024-08-19,RISK_ON,0.1747,,,0.1049,0.0803,,,0.094,,,,0.0854,0.0698,0.0972,,0.0698,0.224,
2024-08-26,RISK_ON,0.1536,,,0.1008,0.1444,,,0.1271,,,,0.0618,0.0618,0.1243,,,0.2261,
2024-09-09,RISK_ON,0.1159,,,0.1062,0.1067,,,0.1541,,,,0.1035,,0.1704,,,0.2432,
2024-09-16,RISK_ON,0.1055,,,0.099,0.077,,,0.1601,,,,0.0845,,0.1415,,,0.2719,0.0604
2024-09-23,RISK_ON,0.0943,,,0.0977,0.0912,,,0.171,,,,0.0714,,0.1195,,,0.234,0.121
2024-09-30,RISK_ON,0.0972,,,0.1018,0.1122,,,0.1249,,,,0.1036,,0.1233,,,0.1989,0.1381
2024-10-07,RISK_ON,0.1032,,,0.0996,0.1006,,,0.1279,,,,0.1054,,0.1431,,,0.1912,0.1289
2024-10-14,RISK_ON,0.1442,,,0.0981,0.1028,,,0.1322,,,,0.1118,,0.1409,,,0.1635,0.1063
2024-10-21,RISK_ON,0.1367,,,0.0884,0.0954,,,0.1947,,,,0.0996,,0.1143,,,0.1522,0.1188
2024-10-28,RISK_ON,0.1219,,,0.1589,0.0404,0.0409,,0.0966,,,,0.1124,,0.1069,,0.0869,0.1554,0.0797
2024-11-04,RISK_ON,0.1687,,,0.0752,0.0467,,,0.0941,,,,0.1658,,0.1212,,0.0665,0.1687,0.0929
2024-11-11,RISK_ON,0.12,,,0.1039,0.0567,0.0466,,0.0786,,,,0.0955,,0.1432,,0.1061,0.1374,0.112
2024-11-18,RISK_ON,0.1728,,,0.0428,,,,0.0655,,,,0.1795,,0.1436,,0.1322,0.1517,0.1119
2024-11-25,RISK_ON,0.1247,,,0.0435,,,,0.0988,,,,0.1957,,0.1667,,0.0826,0.1589,0.1292
2024-12-02,RISK_ON,0.2057,,,0.0461,,0.0537,,0.106,,,,0.0887,,0.1757,,0.0576,0.1412,0.1252
2024-12-09,RISK_ON,0.1253,,,0.1052,,0.0407,,0.1407,,,,0.1189,,0.0967,,0.1067,0.1451,0.1206
2024-12-16,RISK_ON,0.1168,,,0.1379,,,,0.139,,,,0.1457,,0.064,,0.0643,0.1958,0.1366
2024-12-23,RISK_ON,0.1669,,,,,,,0.1292,,,,0.1297,,0.0762,,0.0934,0.2489,0.1558
2024-12-30,RISK_ON,0.1449,,,0.0988,,,,0.1406,,,,0.1444,,0.053,,,0.2352,0.1831
2025-01-06,RISK_ON,0.1819,,,0.0584,,,,0.1368,,,,0.1642,,0.0512,,0.0512,0.2218,0.1345
2025-01-13,RISK_ON,0.0922,,,0.1107,,,,0.1196,,,,0.1313,,,,0.0957,0.262,0.1884
2025-01-27,RISK_ON,0.0618,,,0.181,,,,0.1356,,,,0.1027,,0.0555,,0.1475,0.1883,0.1277
2025-02-03,RISK_ON,,,,0.215,,,,0.215,,,,0.1845,,,,,0.215,0.1705
2025-02-10,RISK_ON,,,,0.1871,,,,0.1022,,,,0.1074,,,,,0.3455,0.2578
2025-02-24,RISK_ON,,,,0.1691,0.1415,,,0.1512,,,,0.0924,,,,,0.2429,0.2028
2025-03-03,RISK_ON,,,,0.5,,,,,,,,,,,,,,0.5
2025-03-10,RISK_OFF,,,,0.2473,,,,,,,,,,,,,,0.2527
2025-03-17,RISK_OFF,,,,0.2705,,,,,,,,,,,,,,0.2295
2025-03-24,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-03-31,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-04-07,DEFENSIVE,,,,,,,,,,,,,,,,,,
2025-04-14,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-04-21,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-04-28,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-05-05,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-05-12,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-05-19,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-06-02,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-06-09,RISK_ON,,,,,,,,,,,,,,,,,,1.0
