ticker,tier
AAPL,top50
MSFT,top50
NVDA,top50
GOOGL,top50
AMZN,top50
META,top50
TSLA,top50
AVGO,top50
AMD,top50
INTC,top50
QCOM,top50
TSM,top50
MU,top50
ASML,top50
ARM,top50
NFLX,top50
SHOP,top50
PLTR,top50
MSTR,top50
COIN,top50
HOOD,top50
JPM,top50
V,top50
MA,top50
BRK-B,top50
UNH,top50
LLY,top50
JNJ,top50
KO,top50
COST,top50
WMT,top50
MCD,top50
SBUX,top50
HD,top50
DIS,top50
XOM,top50
CVX,top50
BA,top50
SPY,top50
QQQ,top50
VOO,top50
IVV,top50
VTI,top50
DIA,top50
IWM,top50
TQQQ,top50
SCHD,top50
JEPI,top50
JEPQ,top50
SOXL,top50
AAPU,pool
ABBV,pool
ABNB,pool
ABT,pool
ACHR,pool
ACN,pool
ADBE,pool
ADI,pool
ADM,pool
ADP,pool
ADSK,pool
AEP,pool
AFL,pool
AFRM,pool
AGG,pool
AI,pool
AIG,pool
ALGN,pool
ALL,pool
AMAT,pool
AMC,pool
AMDL,pool
AMGN,pool
AMT,pool
AMZU,pool
ANET,pool
ANSS,pool
AON,pool
APD,pool
APH,pool
APLD,pool
APO,pool
APP,pool
ARKB,pool
ARKF,pool
ARKG,pool
ARKK,pool
ARKQ,pool
ARKW,pool
AXON,pool
AXP,pool
AZN,pool
AZO,pool
BABA,pool
BAC,pool
BB,pool
BBAI,pool
BBY,pool
BE,pool
BIDU,pool
BIIB,pool
BIL,pool
BITO,pool
BITX,pool
BKNG,pool
BKR,pool
BKSY,pool
BLK,pool
BLNK,pool
BLOK,pool
BMNR,pool
BMY,pool
BND,pool
BOTZ,pool
BRK.B,pool
BSX,pool
BX,pool
BYND,pool
C,pool
CARR,pool
CAT,pool
CB,pool
CCEP,pool
CCI,pool
CDNS,pool
CDW,pool
CEG,pool
CFLT,pool
CHPT,pool
CHTR,pool
CI,pool
CIFR,pool
CL,pool
CLSK,pool
CMCSA,pool
CME,pool
CMG,pool
COF,pool
CONL,pool
COP,pool
CPRT,pool
CRM,pool
CRSP,pool
CRWD,pool
CSCO,pool
CSGP,pool
CSX,pool
CTAS,pool
CTSH,pool
CURE,pool
CVNA,pool
DAL,pool
DASH,pool
DBC,pool
